Sigtaara,IPA,Romanized,Part of speech,English,Alternate Meaning 1,Alternate Meaning 2,Alternate Meaning 3,Alternate Meaning 4
ZUKULIL,/zukulil/,zukulil,adv.,actually,,,,
SUSKÄ,/suskæ/,suska',adj.,acute,,,,
JEZ,/dʒəz/,jez,v.,adapt,,,,
YEG,/jɛg/,yeg,v.,add,,,,
VEMIT,/vɛmit/,vemit,n.,address,,,,
JÚZOZ,/dʒurzoz/,jurzoz,v.,admire,,,,
NEH,/nɛh/,neh,v.,admit, affirm,,,
ZOJÚ,/zodʒur/,zojur,n.,adult,,,,
SIK,/sik/,sik,v.,advance,,,,
FELOS,/fəlos/,felos,n.,adventure,,,,
KEG,/kəg/,keg,v.,advertise,,,,
YÍLNÍHOH,/jirlnirhoh/,yirlnirhoh,n.,advice,,,,
WIWÍS,/wiwirs/,wiwirs,v.,advocate,,,,
WɔZYIG,/wɔzjig/,woozyig,adj.,aesthetic,,,,
SIL,/sil/,sil,v.,affect,,,,
YASMÍL,/jɑsmirl/,yasmirl,n.,affection,,,,
YEMɔ,/jəmɔ/,yemoo,v.,afford,,,,
MÂT,/mɑht/,maat,prep.,after,,,,
GA,/gɑ/,ga,n.,afternoon,,,,
LÂTÂK,/lɑhtɑhk/,laataak,adv.,again,,,,
RUZɔZ,/ruzɔz/,ruzooz,prep.,against,,,,
WɔL,/wɔl/,wool,n.,age,,,,
BOK,/bok/,bok,n.,age, era,,,
FÂSÚNYɔ,/fɑhsurnjɔ/,faasurnyoo,adv.,ago,,,,
GESɔN,/gɛsɔn/,gesoon,n.,agony,,,,
WI,/wi/,wi,v.,agree, admit,,,
YÄHSÄG,/jæhsæg/,ya'hsa'g,v.,agree,,,,
KɔYÚNɔN,/kɔjurnɔn/,kooyurnoon,n.,agreement,,,,
NÂMU,/nɑhmu/,naamu,n.,agriculture,,,,
MÉBAKÂL,/meɪ̯bɑkɑhl/,maebakaal,v.,aim, intend,,,
HɔFÄ,/hɔfæ/,hoofa',n.,air,,,,
HEFU,/həfu/,hefu,n.,air, weather,,,
NÍHOTMÂ,/nirhotmɑh/,nirhotmaa,n.,alarm,,,,
SÍYÄ,/sirjæ/,sirya',n.,alarm, siren,,,
JÄLTOGÚG,/dʒæltogurg/,ja'ltogurg,n.,alcohol,,,,
WEQUTIN,/wəkwutin/,wequtin,n.,alcohol, liquor,,,
BYeRA,/bjerɑ/,byera,n.,ale,,,,
FÄN,/fæn/,fa'n,v.,alert,,,,
MUBANIS,/mubɑnis/,mubanis,n.,alibi,,,,
MOTYET,/motjət/,motyet,det.,all,,,,
PAZIL,/pɑzil/,pazil,adv.,all, wholly, entirely, completely,
MINPE,/minpɛ/,minpe,det.,all, both,,,
PÂ,/pɑh/,paa,det.,all, the whole of, every,,
WÂS,/wɑhs/,waas,n.,allergy,,,,
SUT,/sut/,sut,v.,allocate,,,,
ZUFI,/zufi/,zufi,n.,ally,,,,
HETOSVUZ,/hətosvuz/,hetosvuz,n.,almond,,,,
HÂKɔHBE,/hɑhkɔhbɛ/,haakoohbe,adv.,almost,,,,
WÚLHO,/wurlho/,wurlho,adj.,alone,,,,
BÄNÂK,/bænɑhk/,ba'naak,prep.,along,,,,
HUSIH,/husih/,husih,prep.,alongside, as well as,,,
BÄTÂS,/bætɑhs/,ba'taas,n.,alphabet,,,,
YɔJUSIG,/jɔdʒusig/,yoojusig,adv.,already,,,,
BÂGɔS,/bɑhgɔs/,baagoos,adj.,alternate,,,,
KYG,/kjg/,kyg,conj.,although, though,,,
YEGɔG,/jəgɔg/,yegoog,adv.,always, all the time,,,
KÄWISIN,/kæwisin/,ka'wisin,n.,amateur, novice, rookie,,
KIZÂG,/kizɑhg/,kizaag,n.,amateur,,,,
MÚWÂSOT,/murwɑhsot/,murwaasot,n.,ambassador,,,,
MEHWEHɔK,/mɛhwəhɔk/,mehwehook,adj.,ambiguous, obscure,,,
PARÍ,/pɑrir/,parir,n.,ambition, desire,,,
ROG,/rog/,rog,n.,ambition,,,,
GÂZ,/gɑhz/,gaaz,v.,amend,,,,
BÄSMÂ,/bæsmɑh/,ba'smaa,n.,ammunition,,,,
NÚMÄ,/nurmæ/,nurma',n.,amount, quantity,,,
JÚS,/dʒurs/,jurs,v.,amuse,,,,
FUZIK,/fuzik/,fuzik,n.,analogy,,,,
LÍFÍ,/lirfir/,lirfir,n.,analysis,,,,
MUZ,/muz/,muz,v.,analyze, inspect, examine,,
SÁNI,/saɪ̯ni/,saii̯ni,v.,analyze,,,,
LÄLIH,/lælih/,la'lih,n.,ancestor, forefather,,,
KOPONIK,/koponik/,koponik,n.,anchor,,,,
KÄKRUZIK,/kækruzik/,ka'kruzik,adj.,ancient,,,,
KRUZIK,/kruzik/,kruzik,n.,ancientness,,,,
ARK,/ɑrk/,ark,conj.,and,,,,
TEGPÄ,/tɛgpæ/,tegpa',n.,angel,,,,
RAGOT,/rɑgot/,ragot,v.,anger,,,,
RAGOTÍ,/rɑgotir/,ragotir,n.,anger,,,,
HÚFIHÚK,/hurfihurk/,hurfihurk,n.,angle,,,,
YATOZ,/jɑtoz/,yatoz,n.,angle, direction (way),,,
BOMÚL,/bomurl/,bomurl,adj.,angry, mad,,,
RAN,/rɑn/,ran,n.,animal,,,,
NAS,/nɑs/,nas,v.,animate,,,,
TEKIZ,/tɛkiz/,tekiz,n.,ankle,,,,
NÍSO,/nirso/,nirso,v.,announce, proclaim, testify,,
KOSZÉZOH,/koszeɪ̯zoh/,koszaezoh,v.,announce, proclaim, affirm, testify,
DÂT,/dɑht/,daat,v.,announce, testify,,,
FUG,/fug/,fug,v.,annoy, bother, agitate, exacerbate,
LÍKKÍSYK,/lirkkirsjk/,lirkkirsyk,v.,annoy, agitate,,,
HI,/hi/,hi,n.,answer,,,,
SON,/son/,son,n.,ant,,,,
NIJUS,/nidʒus/,nijus,v.,anticipate,,,,
SULWEL,/sulwɛl/,sulwel,adj.,antique,,,,
JÍME,/dʒirmə/,jirme,n.,anxiety,,,,
NAN,/nɑn/,nan,pron.,any, anyone,,,
GITÂS,/gitɑhs/,gitaas,det.,any,,,,
DAG,/dɑg/,dag,pron.,anything,,,,
TEKÚTFÂN,/tɛkurtfɑhn/,tekurtfaan,n.,apartment,,,,
KROSÎS,/krosɪs/,krosiis,adj.,apologies, pardon, sorry,,
BANIHFE,/bɑnihfɛ/,banihfe,n.,apology,,,,
WOZPIH,/wozpih/,wozpih,v.,appeal,,,,
KɔGIH,/kɔgih/,koogih,n.,appearance (act of appearing),,,,
PEGIL,/pəgil/,pegil,n.,appetite,,,,
YEGRÄSYH,/jɛgræsjh/,yegra'syh,n.,appetite, lust,,,
PÂN,/pɑhn/,paan,v.,applaud, hail, praise,,
PIH,/pih/,pih,v.,applaud,,,,
YO,/jo/,yo,n.,apple,,,,
PÂVIK,/pɑhvik/,paavik,n.,appliance, apparatus,,,
SIKEN,/sikən/,siken,n.,appliance, apparatus, fixture,,
KÄN,/kæn/,ka'n,v.,apply,,,,
DAMI,/dɑmi/,dami,v.,appreciate,,,,
TÂK,/tɑhk/,taak,v.,approach,,,,
KɔKOT,/kɔkot/,kookot,adj.,appropriate,,,,
HES,/həs/,hes,v.,approve,,,,
KOSÚ,/kosur/,kosur,n.,apron,,,,
YɔS,/jɔs/,yoos,adj.,arcane,,,,
MÚBOHɔK,/murbohɔk/,murbohook,n.,arch, arc,,,
HÍK,/hirk/,hirk,n.,archipelago,,,,
MOSI,/mosi/,mosi,n.,architecture,,,,
GOZ,/goz/,goz,n.,archive,,,,
SEJAK,/sɛdʒɑk/,sejak,n.,area, territory,,,
LUHU,/luhu/,luhu,n.,area, region, territory, suburb,
DIZGOHIN,/dizgohin/,dizgohin,n.,arena, stadium,,,
ZES,/zɛs/,zes,v.,argue,,,,
WES,/wəs/,wes,v.,argue, testify,,,
BÂGÄLYS,/bɑhgæljs/,baaga'lys,n.,argument,,,,
ZEG,/zəg/,zeg,v.,arm,,,,
RÂLÍ,/rɑhlir/,raalir,n.,arm, wing,,,
QA,/kwɑ/,qa,n.,armor, hide, scales, plating, defense
PIYÍ,/pijir/,piyir,n.,armor,,,,
FEMEK,/fɛmɛk/,femek,n.,armory,,,,
MAL,/mɑl/,mal,n.,armpit,,,,
LAVU,/lɑvu/,lavu,n.,army,,,,
GÚ,/gur/,gur,prep.,around,,,,
BITLÍ,/bitlir/,bitlir,v.,arouse,,,,
PIGOK,/pigok/,pigok,adj.,aroused (sexually),,,,
WOZVÄT,/wozvæt/,wozva't,v.,arrange, organize, book,,
MAFEL,/mɑfɛl/,mafel,v.,arrange,,,,
KÄKFAGIL,/kækfɑgil/,ka'kfagil,n.,array,,,,
SEH,/sɛh/,seh,v.,arrest, detain,,,
KÚKMIKON,/kurkmikon/,kurkmikon,v.,arrest, capture, seize,,
KEWÍ,/kəwir/,kewir,v.,arrest,,,,
TÂKɔH,/tɑhkɔh/,taakooh,n.,arrival,,,,
PET,/pət/,pet,v.,arrive,,,,
LISKENɔL,/liskənɔl/,liskenool,adj.,arrogant,,,,
FAS,/fɑs/,fas,n.,arrow (sign),,,,
MESDANON,/məsdɑnon/,mesdanon,n.,arrow (weapon),,,,
PENÚ,/pɛnur/,penur,n.,arsenal,,,,
MAZMI,/mɑzmi/,mazmi,n.,art,,,,
KÂBÚSɔT,/kɑhbursɔt/,kaabursoot,n.,article (text),,,,
MÄTDE,/mætdɛ/,ma'tde,n.,artillery,,,,
FANSÄKYK,/fɑnsækjk/,fansa'kyk,n.,artist,,,,
OL,/ol/,ol,adv.,as, similarly, equally,,
JɔZÚG,/dʒɔzurg/,joozurg,adv.,as,,,,
SINWÄ,/sinwæ/,sinwa',n.,ash,,,,
NETIN,/nətin/,netin,n.,ash, coal,,,
PAKZIL,/pɑkzil/,pakzil,adv.,ashamedly,,,,
Bɔ,/bɔ/,boo,v.,ask (inquire), interrogate,,,
NɔK,/nɔk/,nook,v.,ask (inquire), inquire,,,
YÄS,/jæs/,ya's,v.,ask (invite),,,,
MEME,/məmə/,meme,v.,ask (request),,,,
YEYÂZ,/jəjɑhz/,yeyaaz,v.,ask (request), request,,,
YIZ,/jiz/,yiz,n.,ass,,,,
TIYA,/tijɑ/,tiya,n.,assassin,,,,
WIT,/wit/,wit,v.,assassinate,,,,
HEH,/həh/,heh,v.,assault,,,,
LÄ,/læ/,la',v.,assign,,,,
DOH,/doh/,doh,v.,assume, presume, deduce,,
GÂN,/gɑhn/,gaan,n.,asteroid, comet,,,
GUS,/gus/,gus,v.,astonish, shock,,,
MɔN,/mɔn/,moon,n.,astronomy,,,,
AST,/ɑst/,ast,prep.,at,,,,
SɔJÄHYL,/sɔdʒæhjl/,sooja'hyl,n.,athlete,,,,
PÍKÍ,/pirkir/,pirkir,n.,atmosphere,,,,
SASÄG,/sɑsæg/,sasa'g,n.,atmosphere, mood,,,
SɔMÄ,/sɔmæ/,sooma',n.,atom,,,,
KUH,/kuh/,kuh,v.,attach,,,,
PɔYÄHYL,/pɔjæhjl/,pooya'hyl,v.,attack,,,,
REH,/rəh/,reh,v.,attack, assault,,,
WUT,/wut/,wut,v.,attend, show up,,,
ZÂSKIG,/zɑhskig/,zaaskig,v.,attend, date, go out, show up,
ZÄSI,/zæsi/,za'si,n.,attic,,,,
MAJÚHIN,/mɑdʒurhin/,majurhin,n.,attitude,,,,
HETÍ,/hɛtir/,hetir,v.,attract, seduce,,,
GIHLU,/gihlu/,gihlu,v.,attract, lure, seduce,,
MANYUHɔL,/mɑnjuhɔl/,manyuhool,adj.,attractive,,,,
MÄZYÄ,/mæzjæ/,ma'zya',v.,attribute,,,,
MEKIH,/mɛkih/,mekih,n.,audience,,,,
KUKOHOS,/kukohos/,kukohos,v.,audit, probe,,,
ZÉ,/zeɪ̯/,zae,v.,audit,,,,
FÄFOG,/fæfog/,fa'fog,n.,aunt,,,,
FAGÂZ,/fɑgɑhz/,fagaaz,adj.,authentic,,,,
YIZRINYZ,/jizrinjz/,yizrinyz,n.,author,,,,
YIT,/jit/,yit,n.,authority,,,,
DOGVÄNYL,/dogvænjl/,dogva'nyl,v.,authorize,,,,
PIWU,/piwu/,piwu,adj.,automatic,,,,
MɔTVɔZÂS,/mɔtvɔzɑhs/,mootvoozaas,n.,autumn,,,,
HUH,/huh/,huh,adj.,available,,,,
LÚPEKIN,/lurpɛkin/,lurpekin,n.,avenue,,,,
BÚMɔSÂN,/burmɔsɑhn/,burmoosaan,n.,average,,,,
PÍN,/pirn/,pirn,v.,avert, divert,,,
MɔHPI,/mɔhpi/,moohpi,v.,avert, divert, deter,,
HIZ,/hiz/,hiz,v.,avoid,,,,
MÂWE,/mɑhwɛ/,maawe,adj.,awake,,,,
MEMETIL,/mɛmətil/,memetil,adj.,awake, aware, conscious,,
PEJONɔK,/pədʒonɔk/,pejonook,adj.,aware,,,,
PÍ,/pir/,pir,adv.,away,,,,
YÄKYUS,/jækjus/,ya'kyus,n.,awe,,,,
WULKAKOH,/wulkɑkoh/,wulkakoh,adj.,awesome,,,,
TEVÚG,/təvurg/,tevurg,adj.,awful, terrible,,,
PÍDUKIT,/pirdukit/,pirdukit,adj.,awkward,,,,
PÍGME,/pirgmə/,pirgme,n.,axe,,,,
HAKUNÍ,/hɑkunir/,hakunir,n.,axe, ax,,,
KASTÚKɔN,/kɑsturkɔn/,kasturkoon,n.,axis,,,,
VOL,/vol/,vol,n.,baby, infant,,,
HIWɔH,/hiwɔh/,hiwooh,n.,bachelor,,,,
KɔH,/kɔh/,kooh,adv.,back,,,,
NUVITÂN,/nuvitɑhn/,nuvitaan,n.,back (of body), back (reverse side),,,
HANKIGYH,/hɑnkigjh/,hankigyh,n.,backpack,,,,
JENYOS,/dʒənjos/,jenyos,adj.,backward,,,,
TUTLɔSÂK,/tutlɔsɑhk/,tutloosaak,adj.,bad,,,,
PANKɔSɔL,/pɑnkɔsɔl/,pankoosool,n.,badge,,,,
SEHNUTIZ,/sɛhnutiz/,sehnutiz,n.,bag,,,,
YOKMÚNOH,/jokmurnoh/,yokmurnoh,n.,bag, suitcase, baggage, luggage, baggage
SEZYXE,/sɛzjksə/,sezyxe,n.,bait,,,,
WÂKGU,/wɑhkgu/,waakgu,v.,bake,,,,
RO,/ro/,ro,v.,balance,,,,
ROÍ,/roir/,roir,n.,balance,,,,
HINɔN,/hinɔn/,hinoon,n.,balcony,,,,
DEL,/dɛl/,del,n.,balcony, porch, terrace,,
DISNOLYK,/disnoljk/,disnolyk,adj.,bald,,,,
GIGNOHYT,/gignohjt/,gignohyt,n.,ball,,,,
ZILGAKIT,/zilgɑkit/,zilgakit,n.,ball, sphere, circle, ring,
YÄLVɔH,/jælvɔh/,ya'lvooh,v.,ban, prohibit, exclude, omit, restrict
SEL,/sɛl/,sel,v.,ban, prohibit, restrict, veto,
RUK,/ruk/,ruk,v.,ban, prohibit, restrict,,
MESVɔKIK,/məsvɔkik/,mesvookik,n.,band (musical group),,,,
FÉN,/feɪn/,feiin,n.,bane,,,,
YIYÄ,/jijæ/,yiya',v.,bang, fuck (slang),,,
WUYUN,/wujun/,wuyun,v.,bang,,,,
DUT,/dut/,dut,n.,bank, stock,,,
MÍHYɔL,/mirhjɔl/,mirhyool,n.,bank (river),,,,
KAYUKɔK,/kɑjukɔk/,kayukook,adj.,bankrupt, broke,,,
JIZGESɔK,/dʒizgəsɔk/,jizgesook,n.,banner, advertisement,,,
YAZɔH,/jɑzɔh/,yazooh,adv.,barely, hardly,,,
LÂNISÂK,/lɑhnisɑhk/,laanisaak,adv.,barely, merely, hardly,,
MÍLÍKIS,/mirlirkis/,mirlirkis,n.,bargain,,,,
FÄTWÄS,/fætwæs/,fa'twa's,v.,bark, roar,,,
VAZMUKYL,/vɑzmukjl/,vazmukyl,v.,bark,,,,
GESZɔ,/gəszɔ/,geszoo,n.,bark (of tree),,,,
LEZBOKɔH,/ləzbokɔh/,lezbokooh,n.,barrel,,,,
NÚNITKIZ,/nurnitkiz/,nurnitkiz,n.,barrier, hurdle,,,
KIG,/kig/,kig,n.,base,,,,
YɔTUTOK,/jɔtutok/,yootutok,n.,basement, cellar,,,
BIGHUSɔG,/bighusɔg/,bighusoog,adj.,basic,,,,
TÍHɔK,/tirhɔk/,tirhook,n.,basil,,,,
WOGLɔKYK,/woglɔkjk/,woglookyk,n.,basin, reservoir,,,
NɔXOH,/nɔksoh/,nooxoh,n.,basket,,,,
YAYEHÚT,/jɑjəhurt/,yayehurt,n.,bass,,,,
NÂKÂS,/nɑhkɑhs/,naakaas,n.,bastard,,,,
KEZWU,/kəzwu/,kezwu,n.,bat (club),,,,
NINUGÚL,/ninugurl/,ninugurl,n.,bat (winged mammal),,,,
VÍK,/virk/,virk,n.,bath,,,,
KIHɔ,/kihɔ/,kihoo,n.,bath, pool,,,
ZÂNFÂ,/zɑhnfɑh/,zaanfaa,n.,bathroom,,,,
GRÂÍ,/grɑhir/,graair,n.,battle,,,,
GRÂ,/grɑh/,graa,v.,battle,,,,
ZAT,/zɑt/,zat,n.,bay, cove,,,
KOS,/kos/,kos,v.,be,,,,
RÄVÚTIK,/rævurtik/,ra'vurtik,v.,be (age),,,,
WÚFA,/wurfɑ/,wurfa,v.,be (age),,,,
VÂHOZDE,/vɑhhozdə/,vaahozde,v.,be (exist), be (permanent state),,,
WɔTRÂS,/wɔtrɑhs/,wootraas,v.,be (temporary state), be (located),,,
YETɔH,/jətɔh/,yetooh,n.,beach,,,,
KAXE,/kɑksɛ/,kaxe,n.,bead,,,,
NUMAGIN,/numɑgin/,numagin,n.,beak,,,,
ZÚKI,/zurki/,zurki,n.,beam,,,,
KODAV,/kodɑv/,kodav,n.,bear,,,,
KUGIK,/kugik/,kugik,n.,beard, mane,,,
MɔGNɔN,/mɔgnɔn/,moognoon,n.,beard,,,,
FEMÄN,/fəmæn/,fema'n,n.,beast,,,,
YÍTRE,/jirtrə/,yirtre,v.,beat (strike), collide,,,
BRIT,/brit/,brit,adj.,beautiful,,,,
BRI,/bri/,bri,n.,beauty,,,,
TÂZMOGÂN,/tɑhzmogɑhn/,taazmogaan,conj.,because,,,,
HOL,/hol/,hol,v.,become (begin to be),,,,
WE,/wə/,we,v.,become (change into), get,,,
FRUL,/frul/,frul,v.,become temporary,,,,
MÉZÍ,/meɪzir/,meiizir,n.,becoming,,,,
TɔKUTÂT,/tɔkutɑht/,tookutaat,n.,bed, lounge, couch, sofa,
DAMAZɔT,/dɑmɑzɔt/,damazoot,n.,bed,,,,
MÚGIS,/murgis/,murgis,n.,bedroom,,,,
YÄBɔKOK,/jæbɔkok/,ya'bookok,n.,bee,,,,
NOGYAL,/nogjɑl/,nogyal,n.,beer,,,,
JEMɔNOG,/dʒəmɔnog/,jemoonog,n.,beetle,,,,
PAZBITOK,/pɑzbitok/,pazbitok,prep.,before,,,,
BaÎN,/baɪn/,baiin,v.,befoul,,,,
BOLOG,/bolog/,bolog,v.,beg,,,,
BOLOGÍ,/bologir/,bologir,n.,begging,,,,
FEHE,/fəhə/,fehe,n.,behavior,,,,
SɔWOKÚK,/sɔwokurk/,soowokurk,adv.,behind,,,,
KOSÍ,/kosir/,kosir,n.,being,,,,
AKRIN,/ɑkrin/,akrin,v.,being brave,,,,
KEPÂÂN,/kəpɑhɑhn/,kepaaaan,n.,belief,,,,
WÍ,/wir/,wir,v.,believe,,,,
MÄLTID,/mæltid/,ma'ltid,v.,belittle, shrink,,,
FIH,/fih/,fih,n.,bell,,,,
MANUK,/mɑnuk/,manuk,n.,belly,,,,
ZÂL,/zɑhl/,zaal,v.,belong,,,,
GEKIT,/gɛkit/,gekit,n.,belt, strap,,,
GANTIHIS,/gɑntihis/,gantihis,n.,belt,,,,
ZÍK,/zirk/,zirk,n.,bench,,,,
GEN,/gən/,gen,v.,bend,,,,
YETMÄK,/jɛtmæk/,yetma'k,v.,bend, fold, twist,,
KREIL,/krɛil/,kreil,n.,bending, twist, distortion,,
LIGÂN,/ligɑhn/,ligaan,n.,benefit,,,,
BÄZE,/bæzɛ/,ba'ze,adj.,benign,,,,
KÄKRE,/kækrɛ/,ka'kre,adj.,bent, twisted, distorted,,
KRE,/krɛ/,kre,v.,bent, twist, distort,,
PINKAL,/pinkɑl/,pinkal,n.,berry, bean,,,
ZÚHɔ,/zurhɔ/,zurhoo,prep.,beside,,,,
WUKɔNIK,/wukɔnik/,wukoonik,adj.,best,,,,
GRUTH,/gruth/,gruth,v.,betray,,,,
GRUTHÍ,/gruthir/,gruthir,n.,betrayal,,,,
LÍSOH,/lirsoh/,lirsoh,prep.,between, among,,,
ENSOSIN,/ɛnsosin/,ensosin,v.,bewitch,,,,
ENSOSINÍ,/ɛnsosinir/,ensosinir,n.,bewitchment,,,,
YÂWELɔK,/jɑhwəlɔk/,yaawelook,prep.,beyond,,,,
DɔLIGÚK,/dɔligurk/,dooligurk,n.,bicycle,,,,
WELMET,/wɛlmət/,welmet,v.,bid,,,,
KÄTÂL,/kætɑhl/,ka'taal,adj.,big, great (very large), heavy,,
KÄMON,/kæmon/,ka'mon,adj.,big, great (very large), loud,,
KOLFÚ,/kolfur/,kolfur,adj.,big, great (very large), massive, enormous,
DÂDUNIH,/dɑhdunih/,daadunih,n.,bill, check,,,
VÄNEH,/vænəh/,va'neh,num.,billion,,,,
GRON,/gron/,gron,v.,bind, tie, link,,
KUGIZOS,/kugizos/,kugizos,n.,biology,,,,
KÍNÄ,/kirnæ/,kirna',n.,bird,,,,
YIKHUL,/jikhul/,yikhul,n.,birth,,,,
KINÍ,/kinir/,kinir,n.,birth, beginning,,,
KÄKIN,/kækin/,ka'kin,adj.,birthing, born, descended (from),,
WIFULOG,/wifulog/,wifulog,n.,biscuit,,,,
YONVI,/jonvi/,yonvi,n.,bit,,,,
MɔNOT,/mɔnot/,moonot,n.,bitch,,,,
PAYAN,/pɑjɑn/,payan,v.,bite, graze (feed on),,,
BIGɔS,/bigɔs/,bigoos,v.,bite,,,,
AZID,/ɑzid/,azid,adj.,bitter,,,,
KÚVENIG,/kurvɛnig/,kurvenig,adj.,bizarre,,,,
PÄGIKYN,/pægikjn/,pa'gikyn,adj.,black,,,,
ZÚBÍNOG,/zurbirnog/,zurbirnog,n.,blade, razor,,,
VET,/vɛt/,vet,v.,blame, accuse,,,
NÂG,/nɑhg/,naag,v.,blame, accuse, attribute,,
LIN,/lin/,lin,v.,blame, attribute,,,
NEYÚZ,/nəjurz/,neyurz,adj.,blank, plain,,,
SOKDE,/sokdə/,sokde,adj.,blank,,,,
NARÍLYS,/nɑrirljs/,narirlys,n.,blanket,,,,
BUSE,/busɛ/,buse,n.,blanket, quilt,,,
YÚKLU,/jurklu/,yurklu,n.,blanket, quilt, sheet,,
WIZÍGÚT,/wizirgurt/,wizirgurt,n.,blasphemy, heresy,,,
YÍSBE,/jirsbə/,yirsbe,v.,blast,,,,
KROÄG,/kroæg/,kroa'g,n.,blaze,,,,
MAK,/mɑk/,mak,v.,bleed,,,,
JES,/dʒɛs/,jes,v.,blend,,,,
KOGAN,/kogɑn/,kogan,v.,bless,,,,
KOGANÍ,/kogɑnir/,koganir,n.,blessing,,,,
WEK,/wɛk/,wek,adj.,blind,,,,
JÚNBÄK,/dʒurnbæk/,jurnba'k,v.,blink,,,,
HO,/ho/,ho,v.,block, deter,,,
MÄLE,/mælɛ/,ma'le,n.,block,,,,
KEYOH,/kəjoh/,keyoh,v.,block,,,,
LATJIHÚZ,/lɑtdʒihurz/,latjihurz,adj.,blonde,,,,
SOS,/sos/,sos,n.,blood,,,,
SOSRÂ,/sosrɑh/,sosraa,n.,bloodline,,,,
KEZBEZIK,/kəzbəzik/,kezbezik,adj.,bloody,,,,
ZOK,/zok/,zok,v.,bloom, blossom, flourish,,
SɔT,/sɔt/,soot,n.,blouse,,,,
KITÂN,/kitɑhn/,kitaan,v.,blow, kiss,,,
METJI,/mɛtdʒi/,metji,v.,blow,,,,
BI,/bi/,bi,adj.,blue,,,,
YEKO,/jɛko/,yeko,v.,bluff,,,,
WUZBɔT,/wuzbɔt/,wuzboot,adj.,blunt,,,,
MEHJIL,/mɛhdʒil/,mehjil,n.,blur,,,,
DɔSVUG,/dɔsvug/,doosvug,v.,blush,,,,
YɔSO,/jɔso/,yooso,n.,boat,,,,
MÄTÚK,/mæturk/,ma'turk,n.,boat, canoe, raft,,
KOPRAN,/koprɑn/,kopran,n.,body, remains,,,
LUMENIK,/lumɛnik/,lumenik,n.,body,,,,
HÄT,/hæt/,ha't,v.,boil,,,,
HA,/hɑ/,ha,v.,boil, simmer,,,
BOZIK,/bozik/,bozik,adj.,bold,,,,
BOZIKÍ,/bozikir/,bozikir,n.,boldness,,,,
GRONÍ,/gronir/,gronir,n.,bond, tie, link,,
KUK,/kuk/,kuk,n.,bone,,,,
